posted,neighborhood,post title,number bedrooms,sqft,price
2020-12-11 09:22:00,Russian Hill,Remodeled Top Floor 3 Bed 2 Bath Condo ~ J.Wavro,3,NA,"$6,500"
2020-12-11 09:22:00,Marina,Huge In-law Garden apt. Great Location ! ONE  MONTH FREE,NA,800,"$2,250"
2020-12-11 09:21:00,Lower Haight,Beautiful 2 Br. TOP Floor View  Victorian ONE  MONTH  FREE,2,800,"$2,650"
2020-12-11 09:21:00,Haight Ashbury,*CHARMING 2 BR *Top Fl *DW *Bay Windows *Hwd *Lndy *Cole St,2,847,"$3,195"
2020-12-11 09:21:00,Lower Haight,Beautiful 2 Br. TOP floor View  Victorian ONE  MONTH  FREE,2,800,"$2,650"
2020-12-11 09:21:00,North Beach,"Designer Apartment in Classic Building, roof deck",1,1100,"$3,400"
2020-12-11 09:21:00,Marina,"Edwardian Style Cow Hollow Studio w/new kit & bath, pkg ~ J.Wavro",NA,NA,"$2,100"
2020-12-11 09:21:00,Soma,Furnished Modern Studio 1.5 block to BART/MUNI,NA,330,"$1,588"
2020-12-11 09:21:00,Mission District,"Sunny, South-Facing Residence across from Garfield Park",4,1250,"$5,500"
2020-12-11 09:20:00,Mission District,"Top Floor, Sunny Studio with Office- Utilities Included",NA,NA,"$2,250"
2020-12-11 09:20:00,Potrero Hill,Spacious 2-Level Loft * 1.5 Baths *Deck *Fireplace,1,NA,"$2,595"
2020-12-11 09:20:00,Castro,Private Back Yard to offer in a Unique luxury Apartment,3,NA,"$6,500"
2020-12-11 09:19:00,Excelsior,6br/3ba ►Remodeled Oversized Home!,6,2325,"$5,399"
2020-12-11 09:18:00,Mission District,"5br/2ba ►REMODELED, UPPER, FULL-FLOOR, FLAT! HUGE YARD!",5,NA,"$6,499"
2020-12-11 09:17:00,Lower Haight,*LOVELY APT *2nd Fl *Quiet *DW/Granite *Hwd *Lndy * Nr Alamo Sq,1,600,"$2,750"
2020-12-11 09:17:00,Mission District,"5br/2ba ►3D VIRTUAL TOUR ►REMODELED, VICTORIAN, UPPER FLAT",5,NA,"$6,499"
2020-12-11 09:16:00,Bernal Heights,"4br/2ba ►3D TOUR ►REMODELED, FULL-FLOOR, UPPER FLAT",4,NA,"$4,999"
2020-12-11 09:16:00,Inner Richmond,"HUGE 2 BED, 2 BATH ACROSS FROM GG PARK PLUS 1 TIME MOVE IN BONUS!",2,NA,"$3,195"
2020-12-11 09:15:00,Cole Valley,Sunny two bedroom Cole Valley,2,650,"$2,800"
2020-12-11 09:15:00,Pacific Heights,OPEN HOUSE! Studio in a Beautiful Historic Mansion,NA,NA,"$1,795"
2020-12-11 09:15:00,Marina,OPEN HOUSE MON-2Bed/2Bath Split Level w/Attached Garage Space,2,NA,"$4,000"
2020-12-11 09:15:00,Lower Pac Hts,OPEN HOUSE! Studios w/ Eat-in Kitchen near Japantown,NA,NA,"$1,350"
2020-12-11 09:15:00,Russian Hill,OPEN HOUSE TUES-Top floor 2bed/1bath w/hardwood floors & large closets,2,NA,"$3,495"
2020-12-11 09:15:00,Pacific Heights,Hardwood Studio with Views of Lafayette Park & dishwasher,NA,NA,"$1,795"
2020-12-11 09:15:00,Russian Hill,OPEN HOUSE TUES-Large Hardwood Floor 2bed/1bath w/ walk-in closets,2,NA,"$3,195"
2020-12-11 09:14:00,Haight Ashbury,*CHARMING STUDIO *Top Fl *Hwd *Bay Window *Lndry *Cole St,NA,246,"$1,595"
2020-12-11 09:13:00,Downtown,Spacious 2 BR/2BA Condo Unfurnished,2,1100,"$2,800"
2020-12-11 09:12:00,Nob Hill,3 BR./2 BA. - TOP FLOOR UNIT - VIEWING BY APPOINTMENT,3,1150,"$4,600"
2020-12-11 09:12:00,Nob Hill,3 BR./2 BA. - NEW LISTING - VIEWING BY APPOINTMENT,3,1150,"$4,400"
2020-12-11 09:12:00,Nob Hill,3 BR./1 BA. - NEW LISTING - VIEWING BY APPOINTMENT,3,1100,"$4,200"
2020-12-11 09:11:00,Noe Valley,5br/2ba ►REMODELED FULL-FLOOR FLAT,5,NA,"$6,499"
2020-12-11 09:11:00,Russian Hill,"TOP FLOOR HUGE 2 BED, 1 BATH PLUS 1 TIME MOVE IN BONUS!",2,NA,"$2,695"
2020-12-11 09:10:00,Lower Haight,"Cherry Hardwood floors, Formal dining room, walk to Duboce park",2,1035,"$3,195"
2020-12-11 09:09:00,Alamo Square,Studio Alamo Square/NOPA,NA,400,"$2,245"
2020-12-11 09:09:00,Alamo Square,1BR Alamo Square/NOPA,1,550,"$2,895"
2020-12-11 09:09:00,Soma,LUMINA | Panoramic City View 2BR | Skybox Realty,2,1367,"$7,200"
2020-12-11 09:08:00,Inner Richmond,"HUGE 2 BED, 1.5 BATH ACROSS FROM GG PARK PLUS 1 TIME MOVE IN BONUS!",2,NA,"$2,995"
2020-12-11 09:08:00,Soma,AVA 55 Ninth #1508,2,882,"$2,685"
2020-12-11 09:08:00,Inner Sunset,"Controlled Access, WiFi, Parking!",1,665,"$2,395"
